Time[s], Pin 1, Pin 4, Pin 2, Pin 3
 Time [s],Pin 1-Analog,Pin 4-Analog,Pin 2-Analog,Pin 3-Analog
0.000000000000000, -0.08622, -0.08139, -0.07965, -0.07565
0.001000000000000, -0.12227, -0.11253, -0.11051, -0.10688
0.002000000000000, -0.14287, -0.13848, -0.13108, -0.12770
0.003000000000000, -0.14287, -0.13329, -0.13108, -0.12770
0.004000000000000, -0.12742, -0.12291, -0.11566, -0.11729
0.005000000000000, -0.11197, -0.10734, -0.10023, -0.09647
0.006000000000000, -0.04501, -0.03987, -0.03337, -0.03400
0.007000000000000, 0.00134, 0.00683, 0.00263, 0.00764
0.008000000000000, 0.07860, 0.08468, 0.08492, 0.08572
0.009000000000000, 0.15071, 0.15214, 0.15178, 0.15340
0.010000000000000, 0.19706, 0.20403, 0.19806, 0.20025
0.011000000000000, 0.17646, 0.18328, 0.17749, 0.17942
0.012000000000000, 0.17131, 0.17290, 0.16721, 0.16901
0.013000000000000, 0.15586, 0.16252, 0.15692, 0.15860
0.014000000000000, 0.06315, 0.06911, 0.06435, 0.07011
0.015000000000000, 0.02710, 0.03278, 0.02835, 0.02846
0.016000000000000, -0.05531, -0.05025, -0.04880, -0.04962
0.017000000000000, -0.10682, -0.10215, -0.10023, -0.09647
0.018000000000000, -0.12227, -0.11772, -0.11566, -0.11209
0.019000000000000, -0.13257, -0.12810, -0.12080, -0.12250
0.020000000000000, -0.13257, -0.12810, -0.12594, -0.12250
0.021000000000000, -0.11197, -0.10734, -0.10023, -0.10167
0.022000000000000, -0.08622, -0.08139, -0.07965, -0.07565
0.023000000000000, -0.03986, -0.03468, -0.03337, -0.03400
0.024000000000000, 0.04255, 0.04835, 0.04892, 0.04929
0.025000000000000, 0.10435, 0.11062, 0.10549, 0.10655
0.026000000000000, 0.17646, 0.18328, 0.17749, 0.17942
0.027000000000000, 0.20737, 0.21441, 0.20835, 0.21066
0.028000000000000, 0.18161, 0.18847, 0.18264, 0.18463
0.029000000000000, 0.17646, 0.18328, 0.17749, 0.17942
0.030000000000000, 0.12496, 0.13138, 0.12606, 0.12737
0.031000000000000, 0.04255, 0.04835, 0.04378, 0.04408
0.032000000000000, 0.01164, 0.01721, 0.01292, 0.01285
0.033000000000000, -0.06046, -0.05544, -0.05394, -0.04962
0.034000000000000, -0.10682, -0.09696, -0.09508, -0.09126
0.035000000000000, -0.13257, -0.12291, -0.12080, -0.11729
0.036000000000000, -0.13257, -0.12810, -0.12080, -0.11729
0.037000000000000, -0.13772, -0.13329, -0.12594, -0.12250
0.038000000000000, -0.12742, -0.12291, -0.12080, -0.11729
0.039000000000000, -0.06046, -0.06063, -0.05394, -0.05482
0.040000000000000, -0.01926, -0.01393, -0.01280, -0.01318
0.041000000000000, 0.06315, 0.06911, 0.06949, 0.07011
0.042000000000000, 0.13526, 0.14176, 0.13635, 0.13778
0.043000000000000, 0.19191, 0.19884, 0.19292, 0.19504
0.044000000000000, 0.18676, 0.19366, 0.18778, 0.18984
0.045000000000000, 0.16616, 0.17290, 0.16721, 0.16901
0.046000000000000, 0.17131, 0.17809, 0.17235, 0.17422
0.047000000000000, 0.10435, 0.11062, 0.10549, 0.10655
0.048000000000000, 0.04770, 0.05354, 0.04892, 0.05449
0.049000000000000, -0.03471, -0.02949, -0.02823, -0.02880
0.050000000000000, -0.09137, -0.08139, -0.08480, -0.08085
0.051000000000000, -0.12227, -0.11253, -0.11051, -0.10688
0.052000000000000, -0.13772, -0.13329, -0.12594, -0.12770
0.053000000000000, -0.13772, -0.13329, -0.13108, -0.12770
0.054000000000000, -0.12742, -0.12291, -0.11566, -0.11209
0.055000000000000, -0.10682, -0.10215, -0.10023, -0.09647
0.056000000000000, -0.04501, -0.03987, -0.03851, -0.03921
0.057000000000000, -0.00896, -0.00355, -0.00251, -0.00277
0.058000000000000, 0.07345, 0.07949, 0.07463, 0.08052
0.059000000000000, 0.15071, 0.15733, 0.15178, 0.15340
0.060000000000000, 0.20221, 0.20922, 0.20321, 0.20025
0.061000000000000, 0.18161, 0.18847, 0.18264, 0.18463
0.062000000000000, 0.18161, 0.18328, 0.17749, 0.17942
0.063000000000000, 0.15586, 0.16252, 0.15692, 0.15860
0.064000000000000, 0.05800, 0.06392, 0.06435, 0.06490
0.065000000000000, 0.02194, 0.02759, 0.02320, 0.02846
0.066000000000000, -0.05016, -0.04506, -0.04880, -0.04441
0.067000000000000, -0.10167, -0.09696, -0.08994, -0.09126
0.068000000000000, -0.12742, -0.12291, -0.12080, -0.11729
0.069000000000000, -0.12742, -0.12291, -0.11566, -0.11729
0.070000000000000, -0.13257, -0.12810, -0.12080, -0.12250
0.071000000000000, -0.12742, -0.12291, -0.11566, -0.11729
0.072000000000000, -0.08622, -0.08139, -0.07965, -0.07565
0.073000000000000, -0.03986, -0.03468, -0.03337, -0.02880
0.074000000000000, 0.04770, 0.05354, 0.04892, 0.05449
0.075000000000000, 0.10435, 0.11062, 0.10549, 0.11175
0.076000000000000, 0.17646, 0.18328, 0.17749, 0.17942
0.077000000000000, 0.20737, 0.21441, 0.20321, 0.20545
0.078000000000000, 0.17131, 0.17809, 0.17235, 0.17422
0.079000000000000, 0.18161, 0.18328, 0.17749, 0.17942
0.080000000000000, 0.13011, 0.13657, 0.13121, 0.13257
0.081000000000000, 0.04255, 0.04835, 0.04892, 0.04408
0.082000000000000, 0.01679, 0.01721, 0.01806, 0.01805
0.083000000000000, -0.05531, -0.04506, -0.04880, -0.04441
0.084000000000000, -0.11197, -0.10734, -0.10537, -0.10167
0.085000000000000, -0.13257, -0.12810, -0.12594, -0.12250
0.086000000000000, -0.12227, -0.11772, -0.11051, -0.11209
0.087000000000000, -0.13772, -0.13329, -0.12594, -0.12250
0.088000000000000, -0.12742, -0.12291, -0.11566, -0.11209
0.089000000000000, -0.05531, -0.05025, -0.04880, -0.04441
0.090000000000000, -0.03471, -0.02431, -0.02823, -0.02359
0.091000000000000, 0.05800, 0.06911, 0.06435, 0.06490
0.092000000000000, 0.13526, 0.14176, 0.13635, 0.13778
0.093000000000000, 0.18676, 0.19366, 0.18778, 0.18984
0.094000000000000, 0.18676, 0.19366, 0.18778, 0.18984
0.095000000000000, 0.18161, 0.18847, 0.18264, 0.17942
0.096000000000000, 0.17131, 0.17809, 0.16721, 0.16901
0.097000000000000, 0.09920, 0.10543, 0.10035, 0.10655
0.098000000000000, 0.04770, 0.05354, 0.04892, 0.04929
